Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2013-05-23;60909.0;10.3;16.6
2013-05-24;63274.0;8.0;16.7
2013-05-31;60359.0;13.1;17.4
2013-06-01;52603.0;14.8;17.5
2013-06-02;48612.0;14.4;17.6
2013-06-03;55483.0;13.9;17.7
2013-06-04;55388.0;14.5;17.8
2013-06-05;55150.0;17.2;17.9
2013-06-07;54740.0;20.2;18.1
2013-06-10;54425.0;15.4;18.4
2013-06-25;54824.0;15.0;19.8
2013-06-26;54877.0;15.9;19.8
2013-06-28;54893.0;15.7;20.0
2013-07-02;55400.0;19.3;20.3
2013-07-03;56230.0;17.6;20.4
2013-07-08;56128.0;23.3;20.7
2013-07-15;55719.0;23.3;21.0
2013-07-22;57001.0;25.9;21.2
2013-07-24;56736.0;22.9;21.2
2013-07-25;57214.0;24.2;21.2
2013-07-29;51873.0;20.1;21.2
2013-08-06;50281.0;20.9;21.0
2013-08-12;47999.0;20.2;20.7
2013-08-18;43787.0;21.4;20.2
2013-08-20;49999.0;19.2;20.0
2013-08-23;51570.0;22.0;19.8
2013-08-27;53158.0;18.2;19.3
2013-08-30;53826.0;19.1;19.0
2013-08-31;47285.0;19.1;18.9
2013-09-04;55995.0;22.1;18.4
2013-09-14;49036.0;16.2;17.2
2013-09-16;54623.0;14.1;16.9
2013-09-21;48378.0;15.9;16.3
2013-09-23;53995.0;17.9;16.0
2013-09-25;55392.0;18.5;15.7
2013-09-29;46124.0;17.1;15.2
2013-10-14;61853.0;13.0;13.2
2013-10-15;61676.0;13.6;13.1
2013-11-02;54716.0;14.2;10.6
2013-11-16;68475.0;5.2;8.5
2013-11-24;69483.0;6.0;7.4
2013-11-25;80745.0;5.6;7.3
2013-11-27;83058.0;3.3;7.0
2013-11-29;80716.0;5.1;6.8
2013-12-05;82692.0;5.4;6.1
2013-12-08;71197.0;4.2;5.8
2013-12-10;84172.0;2.7;5.6
2013-12-13;81966.0;3.7;5.4
2013-12-20;75690.0;6.0;4.9
2013-12-26;68873.0;6.1;4.7
2013-12-30;72953.0;4.9;4.6
2013-01-04;72463.0;8.1;4.6
2013-01-08;81373.0;4.5;4.7
2013-01-12;72087.0;4.3;4.7
2013-01-14;87328.0;1.7;4.8
2013-01-22;87317.0;3.1;5.1
2013-01-24;87851.0;1.8;5.2
2013-01-31;74804.0;9.2;5.5
2013-02-03;72903.0;3.6;5.7
2013-02-06;84778.0;4.5;5.9
2013-02-11;83301.0;3.7;6.1
2013-02-12;85851.0;2.7;6.2
2013-02-13;85959.0;2.1;6.3
2013-02-15;79261.0;5.8;6.4
2013-02-20;80764.0;4.1;6.7
2013-02-23;85419.0;-1.6;6.9
2013-03-04;78384.0;6.9;7.5
2013-03-07;68864.0;11.3;7.7
2013-03-09;60627.0;10.4;7.8
2013-03-13;84825.0;1.0;8.2
